"Week","HighwayClass","crashCount","Pedestrian","Bicycle","NonMotorist","Motorcycle","Fatal","iceCrashes","icePresent","home","covid","holiday","5-MA","4-MA","2x4-MA","26-MA","dn_crashes","season_adjust","dn_multi","season_adjust_multi","stl_dn_crashes","stl_season_adjust"
2018 W01,"20",109,1,0,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,132.284485946746,NA,134.847087433435,116.581649836113,133.13157681316
2018 W02,"20",114,2,0,2,0,0,0,0,0,0,0,NA,123.25,NA,NA,NA,125.069101331361,NA,125.985251736494,127.807004880881,126.620938764099
2018 W03,"20",145,2,1,3,1,0,69,1,0,0,1,122,125.25,124.25,NA,NA,151.026793639053,NA,151.916123291114,138.845675261349,146.296985379336
2018 W04,"20",125,2,0,2,0,0,0,0,0,0,0,128.6,132.25,128.75,NA,NA,141.984485946746,NA,145.854385985004,123.553393361341,141.30398427505
2018 W05,"20",117,2,0,2,0,0,0,0,0,0,0,127.8,123.5,127.875,NA,NA,114.711409023669,NA,114.378678718954,133.482831577183,123.089263054915
2018 W06,"20",142,2,0,2,2,0,0,0,0,0,0,125,125,124.25,NA,NA,147.063332100592,NA,148.28130042,136.052587913468,145.234223714335
2018 W07,"20",110,2,1,3,1,0,0,0,0,0,1,126,128.25,126.625,NA,NA,117.446024408284,NA,117.543261450672,126.961433693444,122.040094930065
2018 W08,"20",131,2,0,2,1,1,0,0,0,0,0,131.6,129,128.625,NA,NA,133.219101331361,NA,133.615850957987,133.228649085951,136.487596533264
2018 W09,"20",130,0,0,0,1,2,0,0,0,0,0,136,142.5,135.75,NA,NA,133.765255177515,NA,134.541474890827,136.239602198848,132.191360416073
2018 W10,"20",145,3,0,3,2,0,0,0,0,0,0,146,149.75,146.125,NA,NA,142.301793639053,NA,140.797708330058,143.617070516869,139.528609093758
2018 W11,"20",164,4,1,5,0,0,0,0,0,0,0,147.6,152,150.875,NA,NA,156.746024408284,NA,153.253945758119,151.01408390396,150.846312702373
2018 W12,"20",160,1,2,2,2,0,0,0,0,0,0,144.8,144.75,148.375,NA,NA,153.561409023669,NA,152.875405394225,145.148113809736,152.427847559421
2018 W13,"20",139,3,0,3,5,1,0,0,0,0,1,143.8,138.75,141.75,133.769230769231,NA,139.247947485207,NA,140.352118857128,137.13061015569,139.160915976292
2018 W14,"20",116,1,1,2,0,1,0,0,0,0,0,144.4,140.5,139.625,133.653846153846,NA,112.411409023669,NA,113.851345033267,133.34506802895,119.662022865858
2018 W15,"20",140,3,1,4,1,0,0,0,0,0,0,142.8,143.75,142.125,133.461538461538,NA,135.665255177515,NA,136.199591887213,140.945124194631,135.777531463001
2018 W16,"20",167,1,1,2,0,0,0,0,0,0,0,144.4,151.5,147.625,131.346153846154,NA,183.603716715976,NA,196.622150888897,128.854264444266,174.583955976191
2018 W17,"20",152,3,2,5,1,0,0,0,0,0,0,146.8,148.5,150,130.653846153846,NA,159.303716715976,NA,162.504456221508,131.235212553354,156.918572629927
2018 W18,"20",147,4,3,6,1,1,0,0,0,0,0,151.4,147.5,148,131.038461538462,NA,144.597947485207,NA,144.936849768799,134.822616741704,148.046733204402
2018 W19,"20",128,1,0,1,2,0,0,0,0,0,0,145.6,144,145.75,130.807692307692,NA,118.065255177515,NA,118.488068373204,138.607694901109,124.977219807822
2018 W20,"20",163,1,2,3,1,0,0,0,0,0,0,136.6,134,139,131.961538461538,NA,160.186409023669,NA,160.193299765475,140.991246381396,157.309233090359
2018 W21,"20",138,0,0,0,0,0,0,0,0,0,0,130.8,131.5,132.75,131.730769230769,NA,140.446024408284,NA,141.058586112092,133.327005737797,139.689038496783
2018 W22,"20",107,1,0,1,0,0,0,0,0,0,1,128.8,120.25,125.875,132.5,NA,122.284485946746,NA,123.464467769763,114.970227712449,126.764113988538
