CrashDate,Parish,Crashes,Pedestrian,Bicycle,NonMotorist,Motorcycle,Fatal
1/1/2021,ACADIA,3,0,0,0,0,0
1/1/2021,ASCENSION,8,0,0,0,0,1
1/1/2021,ASSUMPTION,1,0,0,0,0,0
1/1/2021,AVOYELLES,2,0,0,0,0,0
1/1/2021,BIENVILLE,1,0,0,0,0,0
1/1/2021,BOSSIER,6,0,0,0,0,0
1/1/2021,CADDO,19,0,0,0,0,0
1/1/2021,CALCASIEU,20,0,0,0,0,0
1/1/2021,CAMERON,1,0,0,0,0,0
1/1/2021,DESOTO,2,0,0,0,0,0
1/1/2021,EAST BATON ROUGE,32,0,0,0,1,0
1/1/2021,EVANGELINE,2,0,0,0,0,0
1/1/2021,IBERIA,1,0,0,0,0,0
1/1/2021,JACKSON,2,0,0,0,0,0
1/1/2021,JEFFERSON,34,1,0,1,0,0
1/1/2021,JEFFERSON DAVIS,2,0,0,0,0,0
1/1/2021,LAFAYETTE,16,0,0,0,0,0
1/1/2021,LASALLE,1,0,0,0,0,0
1/1/2021,LIVINGSTON,10,0,0,0,1,0
1/1/2021,NATCHITOCHES,6,0,0,0,0,0
1/1/2021,ORLEANS,32,1,0,1,0,0
1/1/2021,OUACHITA,12,0,0,0,0,0
1/1/2021,POINTE COUPEE,1,0,0,0,0,0
1/1/2021,RAPIDES,12,0,0,0,0,0
1/1/2021,RICHLAND,2,0,0,0,0,0
1/1/2021,SABINE,1,0,0,0,0,0
1/1/2021,ST. BERNARD,4,0,0,0,0,0
1/1/2021,ST. HELENA,2,0,0,0,0,0
1/1/2021,ST. JAMES,1,0,0,0,0,0
1/1/2021,ST. JOHN THE BAPTIST,6,0,0,0,0,0
1/1/2021,ST. LANDRY,7,0,0,0,0,1
1/1/2021,ST. MARTIN,3,1,0,1,0,1
1/1/2021,ST. MARY,2,0,0,0,0,0
1/1/2021,ST. TAMMANY,9,0,0,0,0,0
1/1/2021,TANGIPAHOA,7,0,0,0,0,0
1/1/2021,TENSAS,3,0,0,0,0,0
1/1/2021,TERREBONNE,6,0,0,0,0,0
1/1/2021,UNION,3,0,0,0,0,0
1/1/2021,VERMILION,3,0,0,0,0,0
1/1/2021,WASHINGTON,2,0,0,0,0,0
1/1/2021,WEBSTER,3,0,0,0,0,0
1/1/2021,WEST BATON ROUGE,4,0,0,0,0,0
1/1/2021,WINN,1,0,0,0,0,0
1/2/2021,ACADIA,4,0,0,0,0,0
1/2/2021,ALLEN,2,0,0,0,0,0
1/2/2021,ASCENSION,4,0,0,0,0,0
1/2/2021,ASSUMPTION,2,0,0,0,0,0
1/2/2021,AVOYELLES,4,0,0,0,0,0
1/2/2021,BIENVILLE,1,0,0,0,0,0
1/2/2021,BOSSIER,6,0,0,0,0,0
1/2/2021,CADDO,22,0,0,0,0,0
1/2/2021,CALCASIEU,9,0,0,0,0,0
1/2/2021,CLAIBORNE,1,0,0,0,0,0
1/2/2021,DESOTO,1,0,0,0,0,0
1/2/2021,EAST BATON ROUGE,35,0,0,0,0,0
1/2/2021,EVANGELINE,4,0,0,0,0,0
1/2/2021,FRANKLIN,1,0,0,0,0,0
1/2/2021,IBERIA,6,0,0,0,0,0
1/2/2021,IBERVILLE,2,0,0,0,0,0
1/2/2021,JACKSON,1,0,0,0,0,0
1/2/2021,JEFFERSON,26,0,0,0,1,2
1/2/2021,LAFAYETTE,19,0,0,0,0,0
1/2/2021,LAFOURCHE,4,0,0,0,0,0
1/2/2021,LASALLE,1,0,0,0,0,0
1/2/2021,LINCOLN,5,0,0,0,0,0
1/2/2021,LIVINGSTON,8,0,0,0,0,0
1/2/2021,MOREHOUSE,1,0,0,0,0,0
1/2/2021,NATCHITOCHES,3,0,0,0,0,0
1/2/2021,ORLEANS,38,1,1,2,0,0
1/2/2021,OUACHITA,6,1,0,1,1,0
1/2/2021,PLAQUEMINES,1,0,0,0,0,0
1/2/2021,POINTE COUPEE,2,0,0,0,0,0
1/2/2021,RAPIDES,11,0,0,0,0,0
1/2/2021,RICHLAND,1,0,0,0,0,1
1/2/2021,ST. BERNARD,3,0,0,0,0,0
1/2/2021,ST. CHARLES,4,0,0,0,0,0
1/2/2021,ST. JAMES,1,0,0,0,0,0
1/2/2021,ST. JOHN THE BAPTIST,2,0,0,0,0,0
1/2/2021,ST. LANDRY,4,0,0,0,0,0
1/2/2021,ST. MARTIN,3,0,0,0,0,0
1/2/2021,ST. MARY,2,0,0,0,0,0
1/2/2021,ST. TAMMANY,14,0,0,0,0,0
1/2/2021,TANGIPAHOA,15,0,0,0,0,0
1/2/2021,TENSAS,1,0,0,0,0,0
1/2/2021,TERREBONNE,5,0,0,0,0,0
1/2/2021,UNION,5,0,0,0,0,0
1/2/2021,VERMILION,2,0,0,0,0,0
1/2/2021,VERNON,2,0,0,0,0,0
1/2/2021,WASHINGTON,1,0,0,0,0,0
