"",".model","HighwayClass",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1","P"
"1","arima_sdif",20,"Test",1.38764124908736,1.96427404004898,1.39498311595379,1.29821439264761,1.30469764823002,NA,NA,0.856617247399861,0.05
"2","tslm_base",20,"Test",1.46401400796999,2.18794425506374,1.57645136456952,1.3697913056549,1.46670114420067,NA,NA,0.767910035071802,0.05
"3","tslm_vars",20,"Test",-2.1789069716614,2.68257903611946,2.24920727472737,-1.8912416948462,1.9589077271313,NA,NA,0.663395277724324,0.05
"4","arima_full",20,"Test",-2.68215086837544,3.02649681948344,2.81732935036635,-2.4083894993849,2.52131681138327,NA,NA,0.113053159745537,0.05
"5","arima_plain",20,"Test",2.52817411858137,3.24270248227205,2.52817411858137,2.34649080594423,2.34649080594423,NA,NA,0.841472694428816,0.05
"6","snaive",20,"Test",-2.47596153846154,3.91334256778412,3.45535714285711,-2.12927838019746,3.05732040131167,NA,NA,0.824205636542446,0.05
"7","tslm_inter",20,"Test",-3.91279590349098,4.71493481972246,4.42157236423018,-3.42603565644196,3.90343618561975,NA,NA,0.413854868965319,0.05
"8","nn_base",20,"Test",-4.10220685535556,6.68937303011743,4.85508190219956,-3.98139266671365,4.57773854920331,NA,NA,0.231554315721397,0.05
"9","drift",20,"Test",-3.9341086504954,8.82049784803875,7.78884431117655,-4.04130455164152,7.19314045889764,NA,NA,0.406974039316722,0.05
"10","naive",20,"Test",-4.08399725274683,8.92360852507132,7.8787774725274,-4.17875223413669,7.28116536164815,NA,NA,0.410676723226719,0.05
"11","nn_vars",20,"Test",-6.68246857427716,10.1920260955511,8.04520925210222,-6.4320264888974,7.53661748561604,NA,NA,0.231377736547049,0.05
