"",".model","HighwayClass",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1","P"
"1","tslm_vars",20,"Test",0.281226459206302,15.7347835960728,12.5504321405715,-1.26070662358698,10.6816814031248,NA,NA,0.169714933609292,0.3
"2","arima_sdif",20,"Test",4.10358380397011,16.4225976642778,12.9979285619563,2.1068931788323,10.774786610049,NA,NA,0.185954734038349,0.3
"3","nn_vars",20,"Test",-2.61063169136409,17.9649207965754,14.6996846699823,-3.80821370216408,12.6484707060915,NA,NA,0.353214726330082,0.3
"4","tslm_base",20,"Test",7.58115501519761,18.4231842223599,14.5844984802432,4.96338372989655,11.9339221974888,NA,NA,0.161528396721499,0.3
"5","arima_full",20,"Test",8.6779692498686,18.5014573438103,13.936842435767,5.95197643748656,11.2221860892665,NA,NA,0.284397967257965,0.3
"6","arima_plain",20,"Test",-2.52761028676477,18.661666433252,15.75025183959,-4.74902671259099,14.1276441640904,NA,NA,0.340691762144821,0.3
"7","drift",20,"Test",3.19778450126878,18.8310763864992,15.8672164747218,0.205316236914926,13.5612556768987,NA,NA,0.346581981575248,0.3
"8","naive",20,"Test",4.28723404255319,19.0746015825211,16.031914893617,1.14435335695535,13.5766020805626,NA,NA,0.351102870179821,0.3
"9","nn_base",20,"Test",-1.09200022979336,19.2718836866589,16.146174545547,-3.54937481392005,14.2892877212473,NA,NA,0.356648930227571,0.3
"10","snaive",20,"Test",-12.4893617021277,24.37997085157,18.8297872340426,-12.0712947307135,16.9697417119784,NA,NA,0.123755189974242,0.3
"11","tslm_inter",20,"Test",-1.68218643059071,29.9302941370567,24.172834526026,-3.14781071127747,21.2888082869443,NA,NA,0.271478763488699,0.3
