"","Date","Cases","Deaths"
"1",2020-03-09,1,0
"2",2020-03-10,6,0
"3",2020-03-11,13,0
"4",2020-03-12,14,0
"5",2020-03-13,36,0
"6",2020-03-14,77,1
"7",2020-03-15,103,2
"8",2020-03-16,137,3
"9",2020-03-17,196,5
"10",2020-03-18,280,7
"11",2020-03-19,392,10
"12",2020-03-20,537,10
"13",2020-03-21,763,16
"14",2020-03-22,837,20
"15",2020-03-23,1172,34
"16",2020-03-24,1388,46
"17",2020-03-25,1795,65
"18",2020-03-26,2305,83
"19",2020-03-27,2746,119
"20",2020-03-28,3315,137
"21",2020-03-29,3539,153
"22",2020-03-30,4024,186
"23",2020-03-31,5237,240
"24",2020-04-01,6424,275
"25",2020-04-02,9152,310
"26",2020-04-03,10299,370
"27",2020-04-04,12500,412
"28",2020-04-05,13014,477
"29",2020-04-06,14867,512
"30",2020-04-07,16284,582
"31",2020-04-08,17030,652
"32",2020-04-09,18283,702
"33",2020-04-10,19253,755
"34",2020-04-11,20014,806
"35",2020-04-12,20595,840
"36",2020-04-13,21016,884
"37",2020-04-14,21518,1013
"38",2020-04-15,21951,1103
"39",2020-04-16,22532,1156
"40",2020-04-17,23118,1213
"41",2020-04-18,23580,1267
"42",2020-04-19,23928,1296
"43",2020-04-20,24523,1328
"44",2020-04-21,24854,1405
"45",2020-04-22,25317,1532
"46",2020-04-23,25798,1599
"47",2020-04-24,26199,1660
"48",2020-04-25,26571,1703
"49",2020-04-26,26832,1729
"50",2020-04-27,27111,1740
"51",2020-04-28,27329,1801
"52",2020-04-29,27703,1845
"53",2020-04-30,28044,1905
"54",2020-05-01,28754,1970
"55",2020-05-02,29183,1993
"56",2020-05-03,29383,2012
"57",2020-05-04,29746,2064
"58",2020-05-05,30069,2115
"59",2020-05-06,30472,2167
"60",2020-05-07,30725,2208
"61",2020-05-08,30928,2227
"62",2020-05-09,31490,2267
"63",2020-05-10,31673,2286
"64",2020-05-11,31881,2308
"65",2020-05-12,32116,2347
"66",2020-05-13,32728,2381
"67",2020-05-14,33555,2417
"68",2020-05-15,33903,2448
"69",2020-05-16,34183,2479
"70",2020-05-17,34498,2491
"71",2020-05-18,34832,2563
"72",2020-05-19,35161,2581
"73",2020-05-20,35439,2608
"74",2020-05-21,36627,2629
"75",2020-05-22,37048,2669
"76",2020-05-23,37165,2683
"77",2020-05-24,37293,2690
"78",2020-05-25,37916,2690
"79",2020-05-26,38252,2701
"80",2020-05-27,38694,2722
"81",2020-05-28,38907,2740
"82",2020-05-29,38907,2766
"83",2020-05-30,39682,2785
"84",2020-05-31,40021,2791
"85",2020-06-01,40452,2801
"86",2020-06-02,40857,2835
"87",2020-06-03,41244,2870
"88",2020-06-04,41673,2883
"89",2020-06-05,42100,2912
"90",2020-06-06,42597,2925
"91",2020-06-07,42927,2936
"92",2020-06-08,43163,2944
"93",2020-06-09,43725,2957
"94",2020-06-10,44143,2968
"95",2020-06-11,44585,2987
"96",2020-06-12,45108,2996
"97",2020-06-13,46396,3004
"98",2020-06-14,46732,3014
"99",2020-06-15,47284,3018
"100",2020-06-16,47818,3042
"101",2020-06-17,48746,3062
"102",2020-06-18,49506,3069
"103",2020-06-19,48627,3084
"104",2020-06-20,49497,3104
"105",2020-06-21,49890,3105
"106",2020-06-22,50352,3117
"107",2020-06-23,51708,3134
"108",2020-06-24,52590,3152
"109",2020-06-25,53528,3164
"110",2020-06-26,54882,3190
"111",2020-06-27,54882,3190
"112",2020-06-28,56349,3199
"113",2020-06-29,57189,3199
"114",2020-06-30,58203,3221
"115",2020-07-01,60286,3238
"116",2020-07-02,61669,3255
"117",2020-07-03,63397,3278
"118",2020-07-04,63397,3278
"119",2020-07-05,65334,3288
"120",2020-07-06,66435,3296
"121",2020-07-07,68371,3319
"122",2020-07-08,70259,3339
"123",2020-07-09,72102,3355
"124",2020-07-10,74744,3380
"125",2020-07-11,76911,3403
"126",2020-07-12,78230,3416
"127",2020-07-13,79935,3423
"128",2020-07-14,82150,3445
"129",2020-07-15,84241,3461
"130",2020-07-16,86521,3485
"131",2020-07-17,88700,3509
"132",2020-07-18,88700,3509
"133",2020-07-19,91816,3543
"134",2020-07-20,95002,3572
"135",2020-07-21,96693,3608
"136",2020-07-22,99466,3670
"137",2020-07-23,101762,3686
"138",2020-07-24,103846,3715
"139",2020-07-25,103846,3715
"140",2020-07-26,107686,3763
"141",2020-07-27,110029,3786
"142",2020-07-28,111150,3812
"143",2020-07-29,112887,3883
"144",2020-07-30,114595,3925
"145",2020-07-31,116394,3949
"146",2020-08-01,116394,3949
"147",2020-08-02,119861,4007
"148",2020-08-03,120960,4024
"149",2020-08-04,124575,4051
"150",2020-08-05,126061,4096
"151",2020-08-06,127364,4146
"152",2020-08-07,128864,4207
"153",2020-08-08,128864,4207
"154",2020-08-09,131517,4263
"155",2020-08-10,132079,4287
"156",2020-08-11,133243,4313
"157",2020-08-12,134427,4361
"158",2020-08-13,135562,4402
"159",2020-08-14,136860,4430
"160",2020-08-15,136860,4430
"161",2020-08-16,138041,4507
"162",2020-08-17,138608,4526
"163",2020-08-18,139248,4554
"164",2020-08-19,140044,4609
"165",2020-08-20,140962,4637
"166",2020-08-21,141861,4687
"167",2020-08-22,141861,4687
"168",2020-08-23,143084,4746
"169",2020-08-24,143707,4764
"170",2020-08-25,144257,4797
"171",2020-08-26,145661,4851
"172",2020-08-27,146338,4874
"173",2020-08-28,146944,4904
"174",2020-08-29,146944,4904
"175",2020-08-30,148568,4931
"176",2020-08-31,148894,4950
"177",2020-09-01,149583,4984
"178",2020-09-02,150734,5004
"179",2020-09-03,151547,5021
"180",2020-09-04,152369,5035
"181",2020-09-05,152369,5035
"182",2020-09-06,153764,5093
"183",2020-09-07,154073,5105
"184",2020-09-08,154329,5118
"185",2020-09-09,155890,5140
"186",2020-09-10,156354,5161
"187",2020-09-11,157109,5202
"188",2020-09-12,157109,5202
"189",2020-09-13,158390,5235
"190",2020-09-14,158882,5252
"191",2020-09-15,159253,5278
"192",2020-09-16,159865,5294
"193",2020-09-17,160343,5311
"194",2020-09-18,161322,5340
"195",2020-09-19,161322,5340
"196",2020-09-20,162258,5366
"197",2020-09-21,162501,5375
"198",2020-09-22,163253,5386
"199",2020-09-23,163869,5407
"200",2020-09-24,164446,5423
"201",2020-09-25,165152,5444
"202",2020-09-26,165152,5444
"203",2020-09-27,166075,5465
"204",2020-09-28,166315,5480
"205",2020-09-29,166848,5490
"206",2020-09-30,167458,5511
"207",2020-10-01,168009,5519
"208",2020-10-02,168826,5545
"209",2020-10-03,168826,5545
"210",2020-10-04,169719,5577
"211",2020-10-05,169937,5586
"212",2020-10-06,170469,5592
"213",2020-10-07,172625,5604
"214",2020-10-08,173149,5609
"215",2020-10-09,173406,5635
"216",2020-10-10,173406,5635
"217",2020-10-11,174587,5655
"218",2020-10-12,174647,5669
"219",2020-10-13,175329,5679
"220",2020-10-14,176209,5695
"221",2020-10-15,176952,5707
"222",2020-10-16,177726,5727
"223",2020-10-17,177726,5727
"224",2020-10-18,178869,5750
"225",2020-10-19,179070,5766
"226",2020-10-20,179769,5772
"227",2020-10-21,181132,5790
"228",2020-10-22,181904,5799
