CrashDate,Crashes,Pedestrian,Bicycle,NonMotorist,Motorcycle,Fatal
1/1/2021,32,0,0,0,1,0
1/2/2021,35,0,0,0,0,0
1/3/2021,39,0,0,0,1,0
1/4/2021,51,1,0,1,0,1
1/5/2021,52,0,0,0,0,0
1/6/2021,45,0,0,0,0,0
1/7/2021,35,0,0,0,0,0
1/8/2021,53,1,0,1,0,0
1/9/2021,42,1,0,1,0,0
1/10/2021,35,0,0,0,0,1
1/11/2021,58,0,0,0,0,0
1/12/2021,58,0,0,0,0,0
1/13/2021,42,0,0,0,0,0
1/14/2021,60,0,0,0,1,1
1/15/2021,63,1,0,1,0,2
1/16/2021,52,0,0,0,0,0
1/17/2021,23,0,0,0,1,0
1/18/2021,37,0,0,0,0,0
1/19/2021,48,0,0,0,0,0
1/20/2021,44,1,1,2,1,1
1/21/2021,55,1,0,1,0,1
1/22/2021,79,0,0,0,1,1
1/23/2021,39,0,0,0,0,0
1/24/2021,32,0,0,0,0,0
1/25/2021,56,1,0,1,0,1
1/26/2021,66,0,0,0,0,0
1/27/2021,62,0,0,0,0,0
1/28/2021,57,0,0,0,0,0
1/29/2021,51,2,0,2,1,1
1/30/2021,51,0,1,1,0,0
1/31/2021,52,0,1,1,0,1
2/1/2021,49,0,0,0,0,0
2/2/2021,48,1,1,2,1,0
2/3/2021,55,1,0,1,0,0
2/4/2021,56,0,0,0,1,0
2/5/2021,94,0,0,0,0,0
2/6/2021,52,2,0,2,0,0
2/7/2021,41,0,0,0,0,0
2/8/2021,47,0,1,1,0,0
2/9/2021,57,0,0,0,0,0
2/10/2021,54,0,0,0,0,0
2/11/2021,71,0,0,0,0,0
2/12/2021,56,1,0,1,0,0
2/13/2021,26,1,0,1,0,1
2/14/2021,35,1,0,1,0,0
2/15/2021,24,0,0,0,0,0
2/16/2021,20,1,0,1,0,0
2/17/2021,44,0,0,0,0,0
2/18/2021,33,2,0,2,1,1
2/19/2021,60,1,0,1,0,0
2/20/2021,37,0,0,0,0,0
2/21/2021,43,0,0,0,1,1
2/22/2021,51,0,0,0,2,1
2/23/2021,60,0,1,1,0,1
2/24/2021,49,0,0,0,0,0
2/25/2021,50,1,0,1,2,0
2/26/2021,73,0,0,0,1,0
2/27/2021,43,1,1,2,1,2
2/28/2021,31,0,1,1,0,0
3/1/2021,50,0,0,0,1,0
3/2/2021,75,0,0,0,0,0
3/3/2021,68,0,0,0,0,0
3/4/2021,70,0,0,0,1,2
3/5/2021,56,1,0,1,0,1
3/6/2021,57,0,0,0,1,0
3/7/2021,39,0,1,1,0,1
3/8/2021,49,1,0,1,0,0
3/9/2021,52,0,0,0,0,0
3/10/2021,67,1,0,1,2,1
3/11/2021,52,0,0,0,0,2
3/12/2021,64,1,0,1,0,0
3/13/2021,48,0,0,0,2,1
3/14/2021,44,1,0,1,1,0
3/15/2021,78,0,1,1,1,0
3/16/2021,43,0,0,0,0,0
