,date,location
0,2018-09-02,Away
1,2018-09-08,Home
2,2018-09-15,Away
3,2018-09-22,Home
4,2018-09-29,Home
5,2018-10-06,Away
6,2018-10-13,Home
7,2018-10-20,Home
8,2018-11-03,Home
9,2018-11-10,Away
10,2018-11-17,Home
11,2018-11-24,Away
12,2019-01-01,Away
13,2019-08-31,Home
14,2019-09-07,Away
15,2019-09-14,Home
16,2019-09-21,Away
17,2019-10-05,Home
18,2019-10-12,Home
19,2019-10-19,Away
20,2019-10-26,Home
21,2019-11-09,Away
22,2019-11-16,Away
23,2019-11-23,Home
24,2019-11-30,Home
25,2019-12-07,Away
26,2019-12-28,Away
27,2020-01-13,Away
28,2020-09-26,Home
29,2020-10-03,Away
30,2020-10-10,Away
31,2020-10-24,Home
32,2020-10-31,Away
33,2020-11-21,Away
34,2020-11-28,Away
35,2020-12-05,Home
36,2020-12-12,Away
37,2020-12-19,Home
38,2021-09-04,Away
39,2021-09-11,Home
40,2021-09-18,Home
41,2021-09-25,Away
42,2021-10-02,Home
43,2021-10-09,Away
44,2021-10-16,Home
45,2021-10-23,Away
46,2021-11-06,Away
47,2021-11-13,Home
48,2021-11-20,Home
49,2021-11-27,Home
50,2022-01-04,Away
51,2022-09-04,Away
52,2022-09-10,Home
53,2022-09-17,Home
54,2022-09-24,Home
55,2022-10-01,Away
56,2022-10-08,Home
57,2022-10-15,Away
58,2022-10-22,Home
59,2022-11-05,Home
60,2022-11-12,Away
61,2022-11-19,Home
62,2022-11-26,Away
63,2022-12-03,Away
64,2023-01-02,Away
65,2023-09-03,Away
66,2023-09-09,Home
67,2023-09-16,Away
68,2023-09-23,Home
69,2023-09-30,Away
70,2023-10-07,Away
71,2023-10-14,Home
72,2023-10-21,Home
73,2023-11-04,Away
74,2023-11-11,Home
75,2023-11-18,Home
76,2023-11-25,Home
77,2024-01-01,Away
