"",".model","HighwayClass",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1","P"
"1","tslm_base",20,"Test",-2.6804927361282,3.27440680313128,3.04553892904994,-2.26701131908128,2.6122618741293,NA,NA,0.92946037192246,0.2
"2","arima_sdif",20,"Test",-3.1539475707515,3.44728009741504,3.1590182989777,-2.72205850611857,2.72681365116022,NA,NA,0.645614979367129,0.2
"3","arima_full",20,"Test",1.82787176568761,4.1173310693525,3.807825128129,1.49907193876168,3.25718604704597,NA,NA,0.857848569082508,0.2
"4","tslm_vars",20,"Test",-3.57603678058551,4.19104824165794,3.61795523535136,-3.0895046064873,3.12835677679526,NA,NA,0.297206847349315,0.2
"5","arima_plain",20,"Test",-0.262699564586904,4.91783662672868,3.9194484760524,-0.0465551581919456,3.38869368178963,NA,NA,0.939286090074447,0.2
"6","tslm_inter",20,"Test",-3.46854548805364,4.99215339282277,4.43845606534313,-3.03400858513643,3.83555505884855,NA,NA,0.564797079321018,0.2
"7","nn_vars",20,"Test",-6.73688218647734,10.433176898865,7.91515762390625,-6.47587741146246,7.33942962648439,NA,NA,0.433109197285003,0.2
"8","snaive",20,"Test",-9.64804063860675,10.7125942094233,9.82801161103056,-8.2377662745443,8.40902783041134,NA,NA,0.949405231808789,0.2
"9","nn_base",20,"Test",-11.0621139553313,14.8368203728016,12.0891220809922,-10.1412817161775,10.9433434631267,NA,NA,0.634382375637013,0.2
"10","naive",20,"Test",15.4154934687949,19.5370088512263,16.148439767779,12.3508434856306,13.129502450195,NA,NA,0.617986778929397,0.2
"11","drift",20,"Test",18.0258195557514,21.5115116311204,18.4326533062686,14.6531936732336,15.0896022492109,NA,NA,0.599039545751343,0.2
