"",".model","HighwayClass",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1","P"
"1","tslm_vars",20,"Test",2.27971864572429,5.82185524298753,4.09825704024618,1.92016317300982,3.49423445676216,NA,NA,0.743225775970285,0.3
"2","arima_plain",20,"Test",-4.43411232567158,5.98740243129047,4.98531296670468,-3.79232043055636,4.27585689895627,NA,NA,0.854580414002247,0.3
"3","arima_sdif",20,"Test",4.07350426711761,6.32930777269596,4.8993472825435,3.42926549940863,4.12059077093017,NA,NA,0.698651451818196,0.3
"4","arima_full",20,"Test",4.13582836547283,6.4854185128315,5.03843555142066,3.48081114778176,4.24001310398374,NA,NA,0.712273055439147,0.3
"5","tslm_base",20,"Test",5.89662511019699,7.81234816728391,6.51027214308323,5.07011944161463,5.56897386736112,NA,NA,0.761179342443154,0.3
"6","snaive",20,"Test",-3.04620607206435,8.42085526148085,7.02407114218209,-2.57055221081162,5.9745842042847,NA,NA,0.919094240020759,0.3
"7","tslm_inter",20,"Test",2.55124497019677,11.5167111142233,8.69583740111194,2.22352760486781,7.68412519197965,NA,NA,0.793333188205582,0.3
"8","nn_vars",20,"Test",-3.97869180316743,11.6059427104575,8.94927591435546,-4.01606112009328,7.95072528032665,NA,NA,0.636649157207542,0.3
"9","nn_base",20,"Test",-1.33760725267957,12.8043350769922,10.4383865490919,-1.76233415081422,9.15741035212069,NA,NA,0.772327730410587,0.3
"10","naive",20,"Test",9.11695913978932,14.5878089861103,12.0159199247767,6.88512893736811,9.83578070887446,NA,NA,0.590362948861183,0.3
"11","drift",20,"Test",11.4649842382477,16.0363986932647,13.2732252443123,8.93337404599811,10.8023388407306,NA,NA,0.574776395914064,0.3
