"",".model","HighwayClass",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1","P"
"1","arima_sdif",20,"Test",1.14077612447906,14.9847501904022,11.6383201153722,-0.236505755611071,9.78905433478777,NA,NA,0.254995084424671,0.25
"2","arima_full",20,"Test",2.24996336117697,15.0086790487012,11.3450173059166,0.650377671612275,9.41752891827499,NA,NA,0.289786841270777,0.25
"3","tslm_vars",20,"Test",-1.83328529184656,15.1756090133288,12.146859467918,-2.89247536654119,10.4667100630713,NA,NA,0.255852824068101,0.25
"4","tslm_base",20,"Test",2.03920804933475,15.8403400365377,12.1819214540734,0.41003555480757,10.2831293823069,NA,NA,0.167276820056466,0.25
"5","nn_vars",20,"Test",-5.63957657045624,18.6701837439133,15.3593478144228,-6.36245846030669,13.554208621562,NA,NA,0.469291254421231,0.25
"6","drift",20,"Test",7.44857934481448,19.6171660712192,15.9729450752431,4.02081351930736,13.2126784210325,NA,NA,0.374893721292551,0.25
"7","naive",20,"Test",7.62025316455696,19.7002859325134,16.0253164556962,4.16796257449351,13.2384882371109,NA,NA,0.376336388544423,0.25
"8","arima_plain",20,"Test",8.95806405025984,20.159548055733,16.2210761524818,5.35310495777771,13.2517963830305,NA,NA,0.370143721568016,0.25
"9","nn_base",20,"Test",-10.0563283316876,21.8280385289056,16.9330505207186,-11.1616236250565,15.8784197375247,NA,NA,0.38161150691748,0.25
"10","snaive",20,"Test",-13.5949367088608,25.8422674084556,19.8481012658228,-12.9267131735982,17.947782175041,NA,NA,0.207822051168517,0.25
"11","tslm_inter",20,"Test",-4.8733719414079,29.0362194217968,23.3874568159184,-5.61934588994056,20.9779661889423,NA,NA,0.372437974185122,0.25
