"","Date","Cases","Deaths","DailyCases","Cases_ma","DailyDeaths","Deaths_ma"
"1",2020-03-09,1,0,1,NA,0,NA
"2",2020-03-10,6,0,5,NA,0,NA
"3",2020-03-11,13,0,7,NA,0,NA
"4",2020-03-12,14,0,1,14.7142857142857,0,0.285714285714286
"5",2020-03-13,36,0,22,19.4285714285714,0,0.428571428571429
"6",2020-03-14,77,1,41,27.1428571428571,1,0.714285714285714
"7",2020-03-15,103,2,26,38.1428571428572,1,1
"8",2020-03-16,137,3,34,54,1,1.42857142857143
"9",2020-03-17,196,5,59,71.5714285714286,2,1.42857142857143
"10",2020-03-18,280,7,84,98,2,2.14285714285714
"11",2020-03-19,392,10,112,104.857142857143,3,2.57142857142857
"12",2020-03-20,537,10,145,147.857142857143,0,4.42857142857143
"13",2020-03-21,763,16,226,170.285714285714,6,5.85714285714286
"14",2020-03-22,837,20,74,216.428571428571,4,8.28571428571428
"15",2020-03-23,1172,34,335,273.285714285714,14,10.4285714285714
"16",2020-03-24,1388,46,216,315.571428571428,12,15.5714285714286
"17",2020-03-25,1795,65,407,364.571428571428,19,17.2857142857143
"18",2020-03-26,2305,83,510,386,18,19
"19",2020-03-27,2746,119,441,407.428571428571,36,21.7142857142857
"20",2020-03-28,3315,137,569,549.857142857143,18,27.7142857142857
"21",2020-03-29,3539,153,224,661.285714285714,16,30
"22",2020-03-30,4024,186,485,978.142857142857,33,32.4285714285714
"23",2020-03-31,5237,240,1213,1079,54,35.8571428571429
"24",2020-04-01,6424,275,1187,1312.14285714286,35,39.2857142857143
"25",2020-04-02,9152,310,2728,1353.57142857143,35,46.2857142857143
"26",2020-04-03,10299,370,1147,1549,60,46.5714285714286
"27",2020-04-04,12500,412,2201,1578.14285714286,42,48.8571428571429
"28",2020-04-05,13014,477,514,1515.14285714286,65,53.8571428571429
"29",2020-04-06,14867,512,1853,1304.42857142857,35,56
"30",2020-04-07,16284,582,1417,1279.14285714286,70,55
"31",2020-04-08,17030,652,746,1073.42857142857,70,56.2857142857143
"32",2020-04-09,18283,702,1253,1083,50,51.8571428571429
"33",2020-04-10,19253,755,970,878.428571428571,53,53.1428571428571
"34",2020-04-11,20014,806,761,747.714285714286,51,61.5714285714286
"35",2020-04-12,20595,840,581,703,34,64.4285714285714
"36",2020-04-13,21016,884,421,607,44,64.8571428571428
"37",2020-04-14,21518,1013,502,552.142857142857,129,65.4285714285714
"38",2020-04-15,21951,1103,433,509.428571428571,90,65.8571428571428
"39",2020-04-16,22532,1156,581,476.142857142857,53,65.1428571428571
"40",2020-04-17,23118,1213,586,501,57,63.4285714285714
"41",2020-04-18,23580,1267,462,476.571428571429,54,56
"42",2020-04-19,23928,1296,348,480.857142857143,29,61.2857142857143
"43",2020-04-20,24523,1328,595,466.571428571429,32,63.2857142857143
"44",2020-04-21,24854,1405,331,440.142857142857,77,63.8571428571429
"45",2020-04-22,25317,1532,463,427.285714285714,127,62.2857142857143
"46",2020-04-23,25798,1599,481,414.857142857143,67,61.8571428571428
"47",2020-04-24,26199,1660,401,369.714285714286,61,58.8571428571428
"48",2020-04-25,26571,1703,372,353.571428571429,43,56.5714285714286
