Parish,LDHH,Cumulative Cases,DateTime,FID,x,y
Acadia,4,2,"3/25/2020, 11:00 AM",33,-10287256.783187998,3540974.1934074564
Acadia,4,4,"3/26/2020, 11:00 AM",100,-10287256.783187998,3540974.1934074564
Acadia,4,8,"3/27/2020, 11:00 AM",170,-10287256.783187998,3540974.1934074564
Acadia,4,,"3/19/2020, 11:00 AM",248,-10287256.783187998,3540974.1934074564
Acadia,4,,"3/20/2020, 11:00 AM",314,-10287256.783187998,3540974.1934074564
Acadia,4,,"3/14/2020, 11:00 AM",348,-10287256.783187998,3540974.1934074564
Acadia,4,,"3/18/2020, 11:00 AM",419,-10287256.783187998,3540974.1934074564
Acadia,4,,"3/21/2020, 11:00 AM",494,-10287256.783187998,3540974.1934074564
Acadia,4,,"3/15/2020, 11:00 AM",609,-10287256.783187998,3540974.1934074564
Acadia,4,2,"3/24/2020, 11:00 AM",694,-10287256.783187998,3540974.1934074564
Acadia,4,1,"3/22/2020, 11:00 AM",736,-10287256.783187998,3540974.1934074564
Acadia,4,1,"3/23/2020, 11:00 AM",816,-10287256.783187998,3540974.1934074564
Acadia,4,9,"3/28/2020, 11:00 AM",830,-10287256.783187998,3540974.1934074564
Acadia,4,9,"3/29/2020, 11:00 AM",918,-10287256.783187998,3540974.1934074564
Acadia,4,,"3/16/2020, 11:00 AM",933,-10287256.783187998,3540974.1934074564
Acadia,4,,"3/17/2020, 11:00 AM",999,-10287256.783187998,3540974.1934074564
Acadia,4,79,"4/6/2020, 11:00 AM",1021,-10287256.783187998,3540974.1934074564
Acadia,4,82,"4/7/2020, 11:00 AM",1089,-10287256.783187998,3540974.1934074564
Acadia,4,11,"3/30/2020, 11:00 AM",1165,-10287256.783187998,3540974.1934074564
Acadia,4,86,"4/8/2020, 11:00 AM",1263,-10287256.783187998,3540974.1934074564
Acadia,4,39,"3/31/2020, 11:00 AM",1339,-10287256.783187998,3540974.1934074564
Acadia,4,47,"4/1/2020, 11:00 AM",1405,-10287256.783187998,3540974.1934074564
Acadia,4,89,"4/9/2020, 11:00 AM",1435,-10287256.783187998,3540974.1934074564
Acadia,4,94,"4/10/2020, 11:00 AM",1501,-10287256.783187998,3540974.1934074564
Acadia,4,99,"4/12/2020, 11:00 AM",1534,-10287256.783187998,3540974.1934074564
Acadia,4,75,"4/5/2020, 11:00 AM",1611,-10287256.783187998,3540974.1934074564
Acadia,4,98,"4/11/2020, 11:00 AM",1700,-10287256.783187998,3540974.1934074564
Acadia,4,101,"4/13/2020, 11:00 AM",1802,-10287256.783187998,3540974.1934074564
Acadia,4,61,"4/2/2020, 11:00 AM",1867,-10287256.783187998,3540974.1934074564
Acadia,4,72,"4/3/2020, 11:00 AM",1921,-10287256.783187998,3540974.1934074564
Acadia,4,65,"4/4/2020, 11:00 AM",1987,-10287256.783187998,3540974.1934074564
Acadia,4,104,"4/14/2020, 11:00 AM",2047,-10287256.783187998,3540974.1934074564
Acadia,4,110,"4/17/2020, 11:00 AM",2135,-10287256.783187998,3540974.1934074564
Acadia,4,110,"4/18/2020, 11:00 AM",2201,-10287256.783187998,3540974.1934074564
Acadia,4,105,"4/15/2020, 11:00 AM",2226,-10287256.783187998,3540974.1934074564
Acadia,4,108,"4/16/2020, 11:00 AM",2316,-10287256.783187998,3540974.1934074564
Acadia,4,110,"4/19/2020, 11:00 AM",2377,-10287256.783187998,3540974.1934074564
Allen,5,2,"3/25/2020, 11:00 AM",34,-10333543.42745984,3587782.93213322
Allen,5,5,"3/26/2020, 11:00 AM",101,-10333543.42745984,3587782.93213322
Allen,5,5,"3/27/2020, 11:00 AM",171,-10333543.42745984,3587782.93213322
Allen,5,,"3/19/2020, 11:00 AM",249,-10333543.42745984,3587782.93213322
Allen,5,,"3/20/2020, 11:00 AM",315,-10333543.42745984,3587782.93213322
Allen,5,,"3/14/2020, 11:00 AM",375,-10333543.42745984,3587782.93213322
Allen,5,,"3/18/2020, 11:00 AM",420,-10333543.42745984,3587782.93213322
Allen,5,,"3/21/2020, 11:00 AM",495,-10333543.42745984,3587782.93213322
Allen,5,,"3/15/2020, 11:00 AM",610,-10333543.42745984,3587782.93213322
Allen,5,2,"3/24/2020, 11:00 AM",695,-10333543.42745984,3587782.93213322
Allen,5,,"3/22/2020, 11:00 AM",743,-10333543.42745984,3587782.93213322
Allen,5,2,"3/23/2020, 11:00 AM",817,-10333543.42745984,3587782.93213322
Allen,5,7,"3/28/2020, 11:00 AM",831,-10333543.42745984,3587782.93213322
Allen,5,9,"3/29/2020, 11:00 AM",919,-10333543.42745984,3587782.93213322
Allen,5,,"3/16/2020, 11:00 AM",934,-10333543.42745984,3587782.93213322
Allen,5,,"3/17/2020, 11:00 AM",1000,-10333543.42745984,3587782.93213322
Allen,5,52,"4/6/2020, 11:00 AM",1022,-10333543.42745984,3587782.93213322
Allen,5,58,"4/7/2020, 11:00 AM",1090,-10333543.42745984,3587782.93213322
Allen,5,11,"3/30/2020, 11:00 AM",1166,-10333543.42745984,3587782.93213322
Allen,5,65,"4/8/2020, 11:00 AM",1264,-10333543.42745984,3587782.93213322
Allen,5,15,"3/31/2020, 11:00 AM",1340,-10333543.42745984,3587782.93213322
Allen,5,19,"4/1/2020, 11:00 AM",1406,-10333543.42745984,3587782.93213322
Allen,5,66,"4/9/2020, 11:00 AM",1436,-10333543.42745984,3587782.93213322
Allen,5,67,"4/10/2020, 11:00 AM",1502,-10333543.42745984,3587782.93213322
Allen,5,73,"4/12/2020, 11:00 AM",1535,-10333543.42745984,3587782.93213322
Allen,5,40,"4/5/2020, 11:00 AM",1612,-10333543.42745984,3587782.93213322
Allen,5,71,"4/11/2020, 11:00 AM",1701,-10333543.42745984,3587782.93213322
Allen,5,74,"4/13/2020, 11:00 AM",1803,-10333543.42745984,3587782.93213322
Allen,5,26,"4/2/2020, 11:00 AM",1868,-10333543.42745984,3587782.93213322
Allen,5,34,"4/3/2020, 11:00 AM",1922,-10333543.42745984,3587782.93213322
Allen,5,39,"4/4/2020, 11:00 AM",1988,-10333543.42745984,3587782.93213322
Allen,5,74,"4/14/2020, 11:00 AM",2048,-10333543.42745984,3587782.93213322
Allen,5,79,"4/17/2020, 11:00 AM",2136,-10333543.42745984,3587782.93213322
Allen,5,79,"4/18/2020, 11:00 AM",2202,-10333543.42745984,3587782.93213322
Allen,5,74,"4/15/2020, 11:00 AM",2227,-10333543.42745984,3587782.93213322
Allen,5,78,"4/16/2020, 11:00 AM",2317,-10333543.42745984,3587782.93213322
Allen,5,79,"4/19/2020, 11:00 AM",2378,-10333543.42745984,3587782.93213322
Ascension,2,1,"3/17/2020, 11:00 AM",7,-10120199.62335453,3529750.239441165
Ascension,2,65,"3/25/2020, 11:00 AM",35,-10120199.62335453,3529750.239441165
Ascension,2,91,"3/26/2020, 11:00 AM",102,-10120199.62335453,3529750.239441165
Ascension,2,90,"3/27/2020, 11:00 AM",172,-10120199.62335453,3529750.239441165
Ascension,2,2,"3/19/2020, 11:00 AM",250,-10120199.62335453,3529750.239441165
Ascension,2,2,"3/20/2020, 11:00 AM",316,-10120199.62335453,3529750.239441165
Ascension,2,1,"3/18/2020, 11:00 AM",421,-10120199.62335453,3529750.239441165
Ascension,2,,"3/14/2020, 11:00 AM",451,-10120199.62335453,3529750.239441165
Ascension,2,3,"3/21/2020, 11:00 AM",496,-10120199.62335453,3529750.239441165
Ascension,2,,"3/15/2020, 11:00 AM",611,-10120199.62335453,3529750.239441165
Ascension,2,36,"3/24/2020, 11:00 AM",696,-10120199.62335453,3529750.239441165
Ascension,2,17,"3/22/2020, 11:00 AM",746,-10120199.62335453,3529750.239441165
Ascension,2,26,"3/23/2020, 11:00 AM",818,-10120199.62335453,3529750.239441165
Ascension,2,107,"3/28/2020, 11:00 AM",832,-10120199.62335453,3529750.239441165
Ascension,2,139,"3/29/2020, 11:00 AM",920,-10120199.62335453,3529750.239441165
Ascension,2,,"3/16/2020, 11:00 AM",935,-10120199.62335453,3529750.239441165
Ascension,2,347,"4/6/2020, 11:00 AM",1023,-10120199.62335453,3529750.239441165
Ascension,2,358,"4/7/2020, 11:00 AM",1091,-10120199.62335453,3529750.239441165
Ascension,2,153,"3/30/2020, 11:00 AM",1167,-10120199.62335453,3529750.239441165
Ascension,2,366,"4/8/2020, 11:00 AM",1265,-10120199.62335453,3529750.239441165
Ascension,2,161,"3/31/2020, 11:00 AM",1341,-10120199.62335453,3529750.239441165
Ascension,2,189,"4/1/2020, 11:00 AM",1407,-10120199.62335453,3529750.239441165
Ascension,2,370,"4/9/2020, 11:00 AM",1437,-10120199.62335453,3529750.239441165
Ascension,2,397,"4/10/2020, 11:00 AM",1503,-10120199.62335453,3529750.239441165
Ascension,2,428,"4/12/2020, 11:00 AM",1536,-10120199.62335453,3529750.239441165
Ascension,2,286,"4/5/2020, 11:00 AM",1613,-10120199.62335453,3529750.239441165
Ascension,2,415,"4/11/2020, 11:00 AM",1702,-10120199.62335453,3529750.239441165
Ascension,2,432,"4/13/2020, 11:00 AM",1804,-10120199.62335453,3529750.239441165
Ascension,2,201,"4/2/2020, 11:00 AM",1869,-10120199.62335453,3529750.239441165
Ascension,2,222,"4/3/2020, 11:00 AM",1923,-10120199.62335453,3529750.239441165
Ascension,2,284,"4/4/2020, 11:00 AM",1989,-10120199.62335453,3529750.239441165
Ascension,2,438,"4/14/2020, 11:00 AM",2049,-10120199.62335453,3529750.239441165
Ascension,2,468,"4/17/2020, 11:00 AM",2137,-10120199.62335453,3529750.239441165
Ascension,2,496,"4/18/2020, 11:00 AM",2203,-10120199.62335453,3529750.239441165
Ascension,2,440,"4/15/2020, 11:00 AM",2228,-10120199.62335453,3529750.239441165
Ascension,2,451,"4/16/2020, 11:00 AM",2318,-10120199.62335453,3529750.239441165
Ascension,2,508,"4/19/2020, 11:00 AM",2379,-10120199.62335453,3529750.239441165
Assumption,3,2,"3/25/2020, 11:00 AM",36,-10137042.262311555,3490821.6645793305
Assumption,3,5,"3/26/2020, 11:00 AM",103,-10137042.262311555,3490821.6645793305
Assumption,3,,"3/17/2020, 11:00 AM",110,-10137042.262311555,3490821.6645793305
Assumption,3,8,"3/27/2020, 11:00 AM",173,-10137042.262311555,3490821.6645793305
Assumption,3,,"3/19/2020, 11:00 AM",251,-10137042.262311555,3490821.6645793305
Assumption,3,1,"3/20/2020, 11:00 AM",317,-10137042.262311555,3490821.6645793305
Assumption,3,,"3/18/2020, 11:00 AM",422,-10137042.262311555,3490821.6645793305
Assumption,3,1,"3/21/2020, 11:00 AM",497,-10137042.262311555,3490821.6645793305
Assumption,3,,"3/14/2020, 11:00 AM",512,-10137042.262311555,3490821.6645793305
Assumption,3,,"3/15/2020, 11:00 AM",612,-10137042.262311555,3490821.6645793305
Assumption,3,2,"3/24/2020, 11:00 AM",697,-10137042.262311555,3490821.6645793305
Assumption,3,1,"3/22/2020, 11:00 AM",750,-10137042.262311555,3490821.6645793305
Assumption,3,1,"3/23/2020, 11:00 AM",819,-10137042.262311555,3490821.6645793305
Assumption,3,8,"3/28/2020, 11:00 AM",833,-10137042.262311555,3490821.6645793305
Assumption,3,14,"3/29/2020, 11:00 AM",921,-10137042.262311555,3490821.6645793305
Assumption,3,,"3/16/2020, 11:00 AM",936,-10137042.262311555,3490821.6645793305
Assumption,3,77,"4/6/2020, 11:00 AM",1024,-10137042.262311555,3490821.6645793305
