LDH Region,Parish,Cumulative Cases,DateTime,FID,x,y
4,Acadia,,"3/14/2020, 11:00 AM",1,-10287256.783187998,3540974.1934074564
4,Acadia,,"3/18/2020, 11:00 AM",112,-10287256.783187998,3540974.1934074564
4,Acadia,8,"3/27/2020, 11:00 AM",227,-10287256.783187998,3540974.1934074564
4,Acadia,,"3/15/2020, 11:00 AM",289,-10287256.783187998,3540974.1934074564
4,Acadia,,"3/21/2020, 11:00 AM",381,-10287256.783187998,3540974.1934074564
4,Acadia,,"3/16/2020, 11:00 AM",484,-10287256.783187998,3540974.1934074564
4,Acadia,,"3/17/2020, 11:00 AM",550,-10287256.783187998,3540974.1934074564
4,Acadia,2,"3/25/2020, 11:00 AM",574,-10287256.783187998,3540974.1934074564
4,Acadia,4,"3/26/2020, 11:00 AM",641,-10287256.783187998,3540974.1934074564
4,Acadia,1,"3/22/2020, 11:00 AM",682,-10287256.783187998,3540974.1934074564
4,Acadia,1,"3/23/2020, 11:00 AM",749,-10287256.783187998,3540974.1934074564
4,Acadia,9,"3/28/2020, 11:00 AM",778,-10287256.783187998,3540974.1934074564
4,Acadia,9,"3/29/2020, 11:00 AM",844,-10287256.783187998,3540974.1934074564
4,Acadia,,"3/19/2020, 11:00 AM",867,-10287256.783187998,3540974.1934074564
4,Acadia,,"3/20/2020, 11:00 AM",933,-10287256.783187998,3540974.1934074564
4,Acadia,2,"3/24/2020, 11:00 AM",961,-10287256.783187998,3540974.1934074564
4,Acadia,11,"3/30/2020, 11:00 AM",1071,-10287256.783187998,3540974.1934074564
4,Acadia,79,"4/6/2020, 11:00 AM",1144,-10287256.783187998,3540974.1934074564
4,Acadia,82,"4/7/2020, 11:00 AM",1210,-10287256.783187998,3540974.1934074564
4,Acadia,75,"4/5/2020, 11:00 AM",1306,-10287256.783187998,3540974.1934074564
4,Acadia,72,"4/3/2020, 11:00 AM",1362,-10287256.783187998,3540974.1934074564
4,Acadia,89,"4/9/2020, 11:00 AM",1417,-10287256.783187998,3540974.1934074564
4,Acadia,94,"4/10/2020, 11:00 AM",1483,-10287256.783187998,3540974.1934074564
4,Acadia,99,"4/12/2020, 11:00 AM",1553,-10287256.783187998,3540974.1934074564
4,Acadia,101,"4/13/2020, 11:00 AM",1619,-10287256.783187998,3540974.1934074564
4,Acadia,39,"3/31/2020, 11:00 AM",1645,-10287256.783187998,3540974.1934074564
4,Acadia,47,"4/1/2020, 11:00 AM",1727,-10287256.783187998,3540974.1934074564
4,Acadia,61,"4/2/2020, 11:00 AM",1811,-10287256.783187998,3540974.1934074564
4,Acadia,98,"4/11/2020, 11:00 AM",1828,-10287256.783187998,3540974.1934074564
4,Acadia,65,"4/4/2020, 11:00 AM",1850,-10287256.783187998,3540974.1934074564
4,Acadia,86,"4/8/2020, 11:00 AM",1867,-10287256.783187998,3540974.1934074564
4,Acadia,110,"4/18/2020, 11:00 AM",2011,-10287256.783187998,3540974.1934074564
4,Acadia,110,"4/19/2020, 11:00 AM",2077,-10287256.783187998,3540974.1934074564
4,Acadia,110,"4/17/2020, 11:00 AM",2148,-10287256.783187998,3540974.1934074564
4,Acadia,117,"4/23/2020, 11:00 AM",2249,-10287256.783187998,3540974.1934074564
4,Acadia,130,"4/27/2020, 11:00 AM",2317,-10287256.783187998,3540974.1934074564
4,Acadia,130,"4/28/2020, 11:00 AM",2385,-10287256.783187998,3540974.1934074564
4,Acadia,104,"4/14/2020, 11:00 AM",2462,-10287256.783187998,3540974.1934074564
4,Acadia,130,"4/26/2020, 11:00 AM",2554,-10287256.783187998,3540974.1934074564
4,Acadia,114,"4/20/2020, 11:00 AM",2658,-10287256.783187998,3540974.1934074564
4,Acadia,129,"4/24/2020, 11:00 AM",2719,-10287256.783187998,3540974.1934074564
4,Acadia,130,"4/25/2020, 11:00 AM",2785,-10287256.783187998,3540974.1934074564
4,Acadia,105,"4/15/2020, 11:00 AM",2820,-10287256.783187998,3540974.1934074564
4,Acadia,108,"4/16/2020, 11:00 AM",2886,-10287256.783187998,3540974.1934074564
4,Acadia,114,"4/21/2020, 11:00 AM",2909,-10287256.783187998,3540974.1934074564
4,Acadia,117,"4/22/2020, 11:00 AM",2975,-10287256.783187998,3540974.1934074564
4,Acadia,130,"4/29/2020, 11:00 AM",3037,-10287256.783187998,3540974.1934074564
4,Acadia,130,"4/30/2020, 11:00 AM",3103,-10287256.783187998,3540974.1934074564
4,Acadia,133,"5/2/2020, 11:00 AM",3127,-10287256.783187998,3540974.1934074564
4,Acadia,134,"5/3/2020, 11:00 AM",3193,-10287256.783187998,3540974.1934074564
4,Acadia,133,"5/1/2020, 11:00 AM",3277,-10287256.783187998,3540974.1934074564
4,Acadia,134,"5/4/2020, 11:00 AM",3367,-10287256.783187998,3540974.1934074564
5,Allen,,"3/14/2020, 11:00 AM",3,-10333543.42745984,3587782.93213322
5,Allen,,"3/18/2020, 11:00 AM",113,-10333543.42745984,3587782.93213322
5,Allen,5,"3/27/2020, 11:00 AM",228,-10333543.42745984,3587782.93213322
5,Allen,,"3/15/2020, 11:00 AM",291,-10333543.42745984,3587782.93213322
5,Allen,,"3/21/2020, 11:00 AM",382,-10333543.42745984,3587782.93213322
5,Allen,,"3/16/2020, 11:00 AM",485,-10333543.42745984,3587782.93213322
5,Allen,,"3/17/2020, 11:00 AM",551,-10333543.42745984,3587782.93213322
5,Allen,2,"3/25/2020, 11:00 AM",575,-10333543.42745984,3587782.93213322
5,Allen,5,"3/26/2020, 11:00 AM",642,-10333543.42745984,3587782.93213322
5,Allen,,"3/22/2020, 11:00 AM",683,-10333543.42745984,3587782.93213322
5,Allen,2,"3/23/2020, 11:00 AM",750,-10333543.42745984,3587782.93213322
5,Allen,7,"3/28/2020, 11:00 AM",779,-10333543.42745984,3587782.93213322
5,Allen,9,"3/29/2020, 11:00 AM",845,-10333543.42745984,3587782.93213322
5,Allen,,"3/19/2020, 11:00 AM",868,-10333543.42745984,3587782.93213322
5,Allen,,"3/20/2020, 11:00 AM",934,-10333543.42745984,3587782.93213322
5,Allen,2,"3/24/2020, 11:00 AM",962,-10333543.42745984,3587782.93213322
5,Allen,11,"3/30/2020, 11:00 AM",1072,-10333543.42745984,3587782.93213322
5,Allen,52,"4/6/2020, 11:00 AM",1145,-10333543.42745984,3587782.93213322
5,Allen,58,"4/7/2020, 11:00 AM",1211,-10333543.42745984,3587782.93213322
5,Allen,40,"4/5/2020, 11:00 AM",1307,-10333543.42745984,3587782.93213322
